,0
Equity(0 [A]),0.01991962735091935
Equity(1 [AAL]),0.014658261524252257
Equity(3 [AAPL]),0.040198516565239664
Equity(4 [ABBV]),0.02938356057668417
Equity(17 [AET]),0.013292130295627794
Equity(19 [AGN]),0.037692225932127614
Equity(20 [AIG]),0.03145918025921934
Equity(35 [AMGN]),0.023505260187881773
Equity(38 [AMZN]),0.020943444205258427
Equity(41 [ANTM]),0.012943777062112364
Equity(45 [APC]),0.026960376874703415
Equity(52 [AVGO]),0.03857581728092275
Equity(55 [AXP]),0.018453225034565156
Equity(58 [BA]),0.019919627350919355
Equity(59 [BAC]),0.01593524745119596
Equity(66 [BIIB]),0.04092164628142588
Equity(70 [BMY]),0.02427447185314389
Equity(74 [C]),0.013077643713838695
Equity(78 [CAT]),0.023753054429649794
Equity(85 [CELG]),0.032452310322398564
Equity(98 [CMCSA]),0.021292094049909442
Equity(100 [CMG]),0.009902593586908204
Equity(109 [COP]),0.014265836870527812
Equity(110 [COST]),0.0158478037399726
Equity(114 [CSCO]),0.004466561388534093
Equity(121 [CVS]),0.017012128478133767
Equity(122 [CVX]),0.01195750672482288
Equity(124 [D]),0.004864788948805143
Equity(125 [DAL]),0.028231679081470035
Equity(132 [DIS]),0.019686316072802836
Equity(147 [EBAY]),0.037850715680082594
Equity(155 [EOG]),0.01965660608071677
Equity(160 [ESRX]),0.03533574837664188
Equity(173 [FB]),0.0037539477204186636
Equity(175 [FCX]),0.004824204177753065
Equity(176 [FDX]),0.023075217978235432
Equity(188 [FOXA]),0.033786311126110406
Equity(192 [GE]),0.016710070682382082
Equity(194 [GILD]),0.004864788948805145
Equity(198 [GOOG]),0.016553861023247986
Equity(199 [GOOGL]),0.029015333498195097
Equity(204 [GS]),0.015589348780954032
Equity(207 [HAL]),0.03149039429863543
Equity(214 [HD]),0.018342472151493323
Equity(220 [HON]),0.012112061382287858
Equity(231 [IBM]),0.019632927446759246
Equity(235 [ILMN]),0.0019654250125190915
Equity(238 [INTC]),0.025977131421081295
Equity(251 [JNJ]),0.007961765196366141
Equity(253 [JPM]),0.011788876672703686
Equity(261 [KMI]),0.026467774444870622
Equity(263 [KO]),0.0119805231957158
Equity(268 [L]),0.004224777360410777
Equity(275 [LLY]),0.022241714957249574
Equity(279 [LOW]),0.03260637152207148
Equity(284 [LYB]),0.04383454067999709
Equity(292 [MCD]),0.013275773271835403
Equity(294 [MCK]),0.02079936446546226
Equity(296 [MDLZ]),0.018357660391337724
Equity(297 [MDT]),0.016131518826327938
Equity(305 [MO]),0.012437609925449943
Equity(306 [MON]),0.029254487460065683
Equity(309 [MRK]),0.018562173038309704
Equity(312 [MSFT]),0.028637767813101556
Equity(316 [MU]),0.0015429920691195974
Equity(317 [MYL]),0.046812975225572824
Equity(323 [NFLX]),0.0003530506097121102
Equity(326 [NKE]),0.02711064469005412
Equity(339 [O]),0.0044665613885340955
Equity(342 [ORCL]),0.02732646288937964
Equity(344 [OXY]),0.019000384374564562
Equity(351 [PEP]),0.010166568791544402
Equity(352 [PFE]),0.015042649694956797
Equity(361 [PM]),0.016390026098315035
Equity(374 [PXD]),0.024569483394279664
Equity(375 [PYPL]),0.009026579977777319
Equity(376 [QCOM]),0.032523804393743125
Equity(381 [REGN]),0.002778048711248176
Equity(395 [SBUX]),0.02915315563817577
Equity(397 [SCHW]),0.02938832282468465
Equity(402 [SLB]),0.018213090897450396
Equity(417 [SWKS]),0.01729971378209204
Equity(422 [T]),0.016131518826327938
Equity(426 [TGT]),0.0242547884640604
Equity(437 [TWX]),0.03357243176963341
Equity(438 [TXN]),0.019204303973532417
Equity(440 [UAA]),0.00796284374730827
Equity(441 [UAL]),0.0042247773604107775
Equity(445 [UNH]),0.013051194406890156
Equity(447 [UNP]),0.021629839254791578
Equity(448 [UPS]),0.01167440791502328
Equity(450 [USB]),0.011225211294403055
Equity(451 [UTX]),0.012843715737030989
Equity(452 [V]),0.029651333251452392
Equity(456 [VLO]),0.01098620280467647
Equity(465 [WBA]),0.04032312953952359
Equity(468 [WFC]),0.012034131656874768
Equity(472 [WMB]),0.018266483337701093
Equity(473 [WMT]),0.015903824831338825
Equity(483 [XOM]),0.010047807484980971
